"city","facebook","name","state","street","tags","twitter","type","website","x","y","zip"
"Mendenhall ","","Apple Valley Produce","ms","132 Apple Valley Drive","bedding plants crafts woodworking cut-flowers herbs fresh-fruits fresh-vegetables nursery-stock nuts","","farm","","-89.840811","32.035084","39114"
"Dumas","HAYS Berry FARM","Hays Berry Farms","ms","1041 C.R. 182 ","coffee tea fresh-fruits fresh-vegetables honey","","farm","www.haysberryfarms.com","-88.8354170","34.5481221","38625"
"Hattiesburg ","https://www.facebook.com/#!/LeafRiverHoney","LEAF RIVER HONEY","ms","270 MONROE RD.","honey","","farm","","-89.291007","31.377864","39401"
"Macon","New Grass Farms","New Grass Farms","ms","2817 Douglass Rd","coffee tea nuts red-meat non-poultry-meat","","farm","www.newgrassfarms.com","-88.460969","33.130152","39341"
"Canton","https://facebook.com/remingtonlottfarms","Remington-Lott Farms","ms","1300 Sharon Road","pet-food","","farm","https://www.remingtonlottfarms.com","-89.919910","32.643040","39046"
"Lena","https://www.facebook.com/ReyerFarms","Reyer Farms","ms","1098 County Line Rd","","","farm","www.reyerfarms.com","-89.5583399","32.5705997","39094"
"West Point ","","Swords Pecans LLC","ms","10392 Highway 45 Alt North","","","farm","","-88.6620892","33.5903942","39773"
"Petal","https://www.facebook.com/TallahalaCreekFarm","Tallahala Creek Farms, LLC","ms","4952 HWY 29","fresh-fruits fresh-vegetables","","farm","","-89.111163","31.363646","39465"
"Como","fb.me/comofarmersmarket@facebook.com","Como Farmer's Market","ms","Main Street","baked goods vegetables jams plants","","market","http://comofarmark@aol.com","-89.939947","34.513561","38619"
"Hernando","https://www.facebook.com/pages/Hernando-Farmers-Market/","Hernando Farmers Market","ms","2535 Highway 51 South","baked goods cheese crafts flowers eggs seafood herbs vegetables honey jams meat nuts plants prepared-foods soap trees coffee beans fruits grains juices mushrooms pet food","","market","http://www.cityofhernando.org/farmersmarket","-89.994281","34.823026","38632"
"Laurel","facebook.com/downtownlaurelfarmersmarket/","Laurel Farmers Market","ms","","baked goods cheese crafts flowers eggs herbs vegetables honey jams nuts plants prepared-foods soap coffee fruits juices wild","","market","http://downtownthursday.com","-89.130033","31.692522","39440"
"Oxford","https://www.facebook.com/mtmarket","Mid-Town Farmers Market","ms","700 North Lamar Blvd.","baked goods flowers eggs herbs vegetables honey jams meat plants prepared-foods soap coffee fruits","","market","http://www.mtfarmersmarket.com","-89.516816","34.373647","38655"
"Batesville","","Square Market","ms","Public Square","baked goods crafts flowers herbs vegetables honey jams soap fruits","","market","http://www.batesvillemainstreet.com/events/","-89.952098","34.316885","38606"
"Tupelo","tupelo farmers depot","Tupelo Farmers' Depot","ms","415 South Spring Street","baked goods flowers herbs vegetables honey jams nuts plants prepared-foods soap coffee fruits mushrooms","","market","http://www.tupelomainstreet.com","-88.704327","34.253733","38804"
