restaurant,address,city,state,zipcode,inspection_date,score,latitude,longitude
PruittHealth-Fairburn,7560 Butner RD,Fairburn,GA,30213,2019-03-29,81,33.6421342,-84.6358015
Dolvin ElementarySchool,10495 Jones Bridge,Alpharetta,GA,30201,2020-03-05,100,34.0361999,-84.2327369
Domino's Pizza #5705,7529 Roswell RD,Atlanta,GA,30350,2020-01-06,100,33.9610268,-84.3638379
Domino's Pizza #4163,10955 Jones Bridge RD NE STE 103,Alpharetta,GA,30022,2019-11-18,99,34.0453816,-84.2213751
Domino's Pizza #4192,12460 Crabapple STE 102,Alpharetta,GA,30004,2019-03-11,100,34.0850282,-84.3572070
American Legion,201 Wills RD,Alpharetta,GA,30201,2019-03-20,96,34.0744323,-84.3124429
Domino's Pizza #4121,9925 Haynes Bridge RD STE 630,Alpharetta,GA,30022,2019-10-23,100,34.0231649,-84.2675497
Arby's #6796,1090 Hammond DR,Atlanta,GA,30328,2019-11-14,100,33.9193497,-84.3533423
Gibney's Pubs,231 Peachtree Center AVE,Atlanta,GA,30303,2020-01-27,87,33.7603687,-84.3863588
Chic-A-Loes,2879 East Point ST,Eastpoint,GA,30344,2019-06-12,93,33.6767422,-84.4432352
Dunwoody Country Club Kitchen I,1600 Dunwoody Club DR,Atlanta,GA,30350,2019-07-11,100,33.9653997,-84.3133323
Publico (KITCHEN),1104 Crescent AVE,Atlanta,GA,30309,2019-11-14,96,33.7848194,-84.3846357
Eats,600 Ponce De Leon AVE,Atlanta,GA,30308,2019-08-29,99,33.7736968,-84.3672046
River Eves Elementary School,9000 Eaves,Roswell,GA,30076,2019-10-16,100,33.9935249,-84.3113864
McDonald's,2350 Cheshire Bridge RD,Atlanta,GA,30324,2019-06-28,100,33.8194244,-84.3519456
New Horizons Sr. Center,745 Orr ST,Atlanta,GA,30314,2019-06-06,95,33.7631158,-84.4116036
Pacific Rim Bistro,303 Peachtree Center AVE NE,Atlanta,GA,30308,2019-05-29,84,33.7627649,-84.3864991
Einstein Brothers,"1100 Hammond Dr , Suite 600",Atlanta,GA,30328,2019-11-05,100,33.9195355,-84.3525657
Rheas II,11490 Alpharetta HWY,Roswell,GA,30076,2019-11-12,80,34.0604236,-84.3256490
Sotto Sotto,313 North Highland AVE,Atlanta,GA,30307,2016-11-17,90,33.7630372,-84.3576759
Soul Vegetarian South,879 Ralph David Abernathy BLVD STE B,Atlanta,GA,30310,2019-04-08,86,33.7384972,-84.4166511
St. Ives Country Club Main Bar,1 St. Ives Country Club DR,Duluth,GA,30097,2018-08-24,94,34.0307173,-84.1833447
El Ponce,939 Ponce De Leon AVE,Atlanta,GA,30306,2019-11-19,81,33.7735389,-84.3566285
Subway,68 Broad ST,Atlanta,GA,30303,2020-01-22,96,33.7560067,-84.3894245
Voya Bistro,4711 Best RD,College Park,GA,30337,2019-05-15,87,33.6261841,-84.4608054
The Local,758 Ponce De Leon AVE,Atlanta,GA,30306,2016-09-23,96,33.7741456,-84.3622967
El Porton,11950 Jones Bridge,Alpharetta,GA,30022,2019-06-20,95,34.0713997,-84.2044383
"El Taco Veloz II, Inc.",5670 Roswell RD,Atlanta,GA,30342,2019-06-20,84,33.9092553,-84.3791133
Esther Jackson Elementary School,1400 Martin RD,Roswell,GA,30076,2020-03-04,100,34.0113129,-84.3185341
Evoline C West Elem Sch,7040 Rivertown,Fairburn,GA,30213,2019-10-23,100,33.5724152,-84.6199496
Fancy Pantry,10595 Old Alabama Rd Connector,Alpharetta,GA,30022,2019-09-24,100,34.0202782,-84.2757333
Fannie's Rest. & Lounge,4401 Fulton Industrial BLVD,Atlanta,GA,30336,2018-10-16,93,33.7650179,-84.5324928
Fat Matts Rib Shack,1811 Piedmont RD NE,Atlanta,GA,30324,2019-06-20,98,33.8080596,-84.3658903
Fellini's,1991 Howell Mill RD,Atlanta,GA,30318,2019-03-18,95,33.8091969,-84.4125779
Fellini's Pizza,4429 Roswell RD,Atlanta,GA,30342,2014-02-28,97,33.8760655,-84.3799745
Fellini's Pizza,4429 Roswell RD,Atlanta,GA,30342,2020-01-06,97,33.8760655,-84.3799745
Findley Oaks Elementary School,5880 Finley Chase DR,Duluth,GA,30097,2019-09-18,100,34.0612550,-84.1864530
Cafe Xpress,675 West Peachtree ST STE C-1,Atlanta,GA,30308,2019-10-17,98,33.7727744,-84.3866474
Fox Theatre,660 Peachtree ST NE,Atlanta,GA,30308,2019-01-18,100,33.7724230,-84.3850225
Subway,1175 Ralph David Abernathy BLVD,Atlanta,GA,30310,2019-11-05,77,33.7388996,-84.4262274
Anna Lee's,425 Market PL,Roswell,GA,30076,2019-11-07,100,34.0310237,-84.3408532
Chef For A Night,499 Peachtree ST,Atlanta,GA,30308,2019-03-28,95,33.7681501,-84.3852112
Georgia Grille,2290 Peachtree RD N,Atlanta,GA,30309,2019-07-03,99,33.8171632,-84.3900366
Annie Thai Castle,3195 Roswell RD,Atlanta,GA,30305,2019-08-29,92,33.8422175,-84.3784766
Food 101,4969 Roswell RD STE 200,Atlanta,GA,30342,2018-12-18,97,33.8900622,-84.3807352
Ghion Cultural Hall,2080 Cheshire Bridge RD,Atlanta,GA,30324,2017-12-18,92,33.8125269,-84.3551497
Greyhound Lines Food Service,232 Forsyth ST,Atlanta,GA,30303,2018-09-03,97,33.7485010,-84.3963356
Gold Rush Kitchen,2608 Metropolitan PKWY S,Atlanta,GA,30315,2019-07-09,70,33.6837330,-84.4072165
Goldberg's Bagel Company,4383 Roswell RD,Atlanta,GA,30342,2019-09-13,100,33.8741705,-84.3809490
Wendy's,5965 Bakers Ferry RD,Atlanta,GA,30336,2019-03-27,99,33.7311475,-84.5737445
1st Methodist Church,360 Peachtree ST N,Atlanta,GA,30308,2019-05-08,91,33.7644501,-84.3864794
Ansley Golf Club Pool & Tennis,196 Montgomery Ferry DR,Atlanta,GA,30309,2019-03-21,100,33.8002874,-84.3757539
Power ATL,134 Baker ST NE,Atlanta,GA,30303,2017-02-08,93,33.7624092,-84.3830550
Fontaine's Oyster House,1026 1/2 North Highland AVE NE,Atlanta,GA,30306,2019-04-04,92,33.7826177,-84.3544905
Wingate Inn D/b/A The Burgess Hotel (Kitchen),3600 Piedmont RD NE,Atlanta,GA,30305,2020-02-03,100,33.8525912,-84.3814332
Antica Posta,519 East Paces Ferry RD,Atlanta,GA,30305,2018-03-29,96,33.8383954,-84.3708596
Great Wraps,1 CNN Center STE 227,Atlanta,GA,30303,2019-07-11,89,33.7590607,-84.3949229
Paolo's,1025 Virginia AVE NE,Atlanta,GA,30306,2019-04-04,95,33.7822698,-84.3537470
McDonald's,1166 Ralph David Abernathy BLVD SW,Atlanta,GA,30310,2019-04-10,90,33.7382118,-84.4257599
World Changers Ministries (Kitchen),2500 Burdett RD,College Park,GA,30349,2019-01-15,90,33.5943139,-84.4715311
Apresdiem,931 Monroe DR STE 103 - C,Atlanta,GA,30308,2019-05-30,90,33.7794269,-84.3675836
O'Hern House,16 William Holmes Borders DR,Atlanta,GA,30312,2019-04-12,97,33.7539320,-84.3753829
William Breman Jewish Home Milk Kitchen,3150 Howell Mill RD,Atlanta,GA,30327,2019-06-03,97,33.8396965,-84.4281487
Ansley Room,196 Montgomery Ferry RD,Atlanta,GA,30309,2019-03-21,98,33.8002874,-84.3757539
Grand Hyatt Atlanta Banquet Kitchen,3300 Peachtree RD,Atlanta,GA,30305,2020-01-08,88,33.8452316,-84.3704266
Grand Hyatt Atlanta Cassis Kitchen,3300 Peachtree,Atlanta,GA,30305,2020-01-08,92,33.8452316,-84.3704266
Subway,225 Peachtree ST STE F-C06,Atlanta,GA,30303,2019-01-16,86,33.7601673,-84.3870294
Grand Hyatt Atlanta Lobby Bar,3300 Peachtree RD,Atlanta,GA,30303,2020-01-08,100,33.8452316,-84.3704266
Dreamland B.B.Q,10730 Alpharetta HWY,Roswell,GA,30076,2019-10-23,96,34.0414379,-84.3428253
19 North - Bar,5750 Windward PKWY,Alpharetta,GA,30005,2020-01-07,100,34.0900498,-84.2586632
19 North - Restaurant,5750 Windward PKWY,Alpharetta,GA,30005,2020-01-07,95,34.0900498,-84.2586632
Alacarte,8610 Roswell RD,Atlanta,GA,30350,2019-11-12,100,33.9909398,-84.3533012
El Gallo,387 Cleveland AVE,Atlanta,GA,30315,2019-09-17,100,33.6815997,-84.4022052
Canton Cook's Restaurant,5984 Roswell RD,Atlanta,GA,30328,2019-11-07,94,33.9185481,-84.3819095
Grecian Gyros,855 Virginia AVE,Hapeville,GA,30354,2019-04-17,100,33.6590347,-84.4170411
Fellinis Pizza,909 Ponce De Leon,Atlanta,GA,30307,2019-04-17,94,33.7735215,-84.3576759
Cosmopolitan Restaurant And Bar,45 13th ST,Atlanta,GA,30309,2019-05-15,96,33.7855108,-84.3859700
Ruth's Chris Steak House Main Kitchen,267 Marietta ST,Atlanta,GA,30313,2018-10-09,88,33.7607765,-84.3945295
Ruth's Chris Steak House Bar,267 Marietta ST,Atlanta,GA,30313,2019-04-30,99,33.7607765,-84.3945295
Starbucks Coffee Company #8320,21 14th ST,Atlanta,GA,30309,2019-01-03,93,33.7863043,-84.3871606
Holy Redeemer School Cafeteria,3380 Old Alabama RD,Alpharetta,GA,30022,2019-09-18,100,34.0216211,-84.2608087
Persepolis Cuisine,6435 Roswell RD,Atlanta,GA,30328,2019-11-07,96,33.9307490,-84.3790961
Target Food Avenue T1197,3535 Peachtree RD,Atlanta,GA,30326,2018-07-12,100,33.8518408,-84.3593453
Arby's #1220,10601 Alpharetta HWY,Roswell,GA,30076,2019-06-28,100,34.0395652,-84.3421885
Village Tavern,11555 Rainwater DR,Alpharetta,GA,30004,2019-12-03,95,34.0621240,-84.2874159
