name,STREETADDRESS,STREETCITY,STREETSTATE,STREETCOUNTRY,STREETZIPCODE,STREETCOUNTY,STREETMSA,Employment (Individual Site - Current Year),PRIMARYNAICS,Category,SubCategory,SIC8DIGIT,Description,coi_sector,COI Sub-sector,lat,lon
TIGERCAT INDUSTRIES INC,1805 COMMERCE DR,VIDALIA,GA,USA,30474-5649,TOOMBS,0,3,493110,GENERAL WAREHOUSING AND STORAGE,PARTS DISTRIBUTION WAREHOUSE,42259901,GENERAL WAREHOUSING,WAREHOUSING,DC,38.1040864,-122.2566367
TOTAL AIRCRAFT MANAGEMENT INC,5151 IVEY RD NW,ACWORTH,GA,USA,30101-4040,COBB,43,4,488190,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,AIRPORT/AIRPORT SERVICES,45810200,AIRCRAFT MAINTENANCE AND REPAIR SERVICES,AIR,,33.021562,-96.917668
MYAH TRANSPORTATION LLC,2325 POWDER SPRINGS RD SW # 100,MARIETTA,GA,USA,30064-4444,COBB,43,3,492110,COURIERS AND EXPRESS DELIVERY SERVICES,AIR COURIER SERVICES,45130000,AIR COURIER SERVICES,AIR,,34.2976054,-88.8253344
AIRNAUTIQUE- INC. AIRPORT (0GA2),222 W HOWELL ST,HARTWELL,GA,USA,30643-1194,HART,0,2,488119,OTHER AIRPORT OPERATIONS,AIRPORT/AIRPORT SERVICES,45810301,AIRPORT,AIR,,34.863253,-87.5622102
AVIATION LETTER ART,572 WHALEYS LAKE DR,JONESBORO,GA,USA,30238-4831,CLAYTON,43,2,488119,OTHER AIRPORT OPERATIONS,AIRPORT/AIRPORT SERVICES,45810000,AIRPORTS FLYING FIELDS AND SERVICES,AIR,,33.3756782,-86.9403623
M K FIELD AIRPORT (6GE4),6014 LONE OAK RD,HOGANSVILLE,GA,USA,30230-4032,TROUP,0,2,488119,OTHER AIRPORT OPERATIONS,AIRPORT/AIRPORT SERVICES,45810000,AIRPORTS FLYING FIELDS AND SERVICES,AIR,,32.3210859,-86.2975953
UNITED PARCEL SERVICE- INC. (OH),1343 BELFAST AVE,COLUMBUS,GA,USA,31904-4429,MUSCOGEE,133,9,481112,SCHEDULED FREIGHT AIR TRANSPORTATION,SCHEDULED AIR TRANSPORTATION,45129901,AIR CARGO CARRIER SCHEDULED,AIR,,37.8167726,-85.9935581
VASCOR- LTD.,1000 HWY 354,COMMERCE,GA,USA,30529,JACKSON,42,3,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",MANAGEMENT CONSULTING SERVICES,87420410, TRANSPORTATION CONSULTANT ,AUXILIARY SVCS,Consulting,34.9305875,-85.5876987
RASJ TRUCKING LLC,2050 AUSTELL RD SW APT S4,MARIETTA,GA,USA,30008-4188,COBB,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.7126528,-85.5524134
MICHAEL MCGEE DOCK,43 SENTRY OAK CT,STOCKBRIDGE,GA,USA,30281-3161,HENRY,43,1,492110,COURIERS AND EXPRESS DELIVERY SERVICES,COURIER SERVICE,42150000,COURIER SERVICES EXCEPT BY AIR,TRUCK,Courier/Parcel,34.8835916,-85.5447434
