"city","facebook","name","state","street","tags","twitter","type","website","x","y","zip"
"Stewartstown","facebook/applehavenfarm","Apple Haven Farm","nh","829 Piper Hill Road","dairy products herbs fresh-fruits fresh-vegetables","","farm","www.applehavenfarm.com","-71.491190","44.952681","03576"
"Pittsfield","","Appleview Orchard","nh","1266 Upper City Road","","","farm","","-71.342297","43.325531","3263"
"Meredith","","Arbutus Hill Farm","nh","150 Arbutus Hill Rd","baked-goods bedding plants canned preserved herbs fresh-vegetables mushrooms nuts poultry fowl red-meat non-poultry-meat","","farm","www.ladyfarmer.com","-71.577164","43.606107","03253"
"Eaton","","BerryKnoll","nh","67 Old Portland Rd., off Brownfield Road","fresh-fruits maple-products nursery-stock","","farm","BerryKnoll.com","-71.010638","43.916591","03832"
"Sanbornton","","Broadview Farm","nh","37 March Road","fresh-vegetables honey","","farm","www.broadviewfarm.com","-71.593585","43.478446","3269"
"Farmington","","Butternut Farm LLC","nh","195 Meaderboro Road","baked-goods canned preserved fresh-fruits honey juices ciders maple-products","","farm","www.Butternutfarm.net","-71.068903","43.323159","03835"
"Bradford","","Cornucopia Farm","nh","53 Woodview Heights","bedding plants crafts woodworking cut-flowers dairy products eggs herbs fresh-fruits fresh-vegetables poultry fowl red-meat non-poultry-meat soap body-care","","farm","http://www.cornucopiafarmnh.com","-71.977336","43.263441","03221"
"Lee","https://www.facebook.com/pages/DeMeritt-Hill-Farm/166676763359982?ref=bookmarks","Demeritt Hill Farm","nh","66 Lee Road (route 155)","baked-goods canned preserved coffee tea crafts woodworking cut-flowers fresh-fruits fresh-vegetables honey juices ciders maple-products nursery-stock prepared foods soap body-care","https://twitter.com/NHapples","farm","www.demeritthillfarm.com","-70.967587","43.157470","3861"
"Chatham ","","Dietz's Farm","nh","1028 Main Rd","eggs","","farm","","-71.0068566","44.1648428","03813"
"Bradford","https://www.facebook.com/EliorAcres","Elior Acres, LLC","nh","2871 State Route 114","baked-goods crafts woodworking eggs herbs poultry fowl red-meat non-poultry-meat","","farm","www.EliorAcres.com","-71.911341","43.235200","03221"
"Dublin","https://www.facebook.com/farmerjohnsplot?ref=br_tf","Farmer John's Plot","nh","26 Chesham Road","baked-goods bedding plants canned preserved coffee tea cut-flowers dairy products eggs herbs fresh-fruits fresh-vegetables grains flour honey juices ciders maple-products mushrooms nuts poultry fowl prepared foods red-meat non-poultry-meat soap body-care wild-harvested forest-products","","farm","http://farmerjohnsplot.org/","-72.150907","42.918938","03444"
"Marlborough","","Gap Mountain Goats","nh","875 Jaffrey Road","eggs poultry fowl red-meat non-poultry-meat","","farm","www.GapMountainGoats.com","-72.156181","42.859482","3455"
"Hopkinton","https://www.facebook.com/121710497201","Gould Hill Farm","nh","656 Gould Hill Road","","HTTPS://twitter.com/gouldhillfarm","farm","Http://Www.gouldhillfarm.com","-71.68936","43.22074","3229"
