id,place,city,region,zip,type,verification_type,verification_number,sum_of_tickets_earned,count_of_projects_earning_tickets,years_tickets_earned,lat,lon,HouseMedianIncome,HouseMeanIncome,IncomeUnder25K
13476,Jay's HOPE Foundation,Macon,Georgia,31201,nonprofit,ein,205117271,25,3,"2017,2018",32.81,-83.62,19495,38249,58
23220,Rescue Mission of Middle GA,Macon,Georgia,31201,nonprofit,ein,586011446,10,1,2018,32.81,-83.62,19495,38249,58
36174,Joshua's Wish,MACON,Georgia,31201,nonprofit,ein,272416977,5,1,2018,32.81,-83.62,19495,38249,58
27656,U CARE WE CARE,COLUMBUS,Georgia,31903,nonprofit,ein,823101262,20,1,2018,32.41,-84.95,23145,32641,52.9
23354,Relay for Life of Harlan County,Atlanta,Georgia,30303,,ein,131788491,20,4,2018,33.75,-84.39,22383,38004,52.5
13192,Furniture Bank of Metro Atlanta,Atlanta,Georgia,30310,nonprofit,ein,581815194,5,1,2019,33.73,-84.43,28333,44192,45.6
27008,Kiwanis of Tattnall County,Reidsville,Georgia,30453,nonprofit,ein,474890803,15,2,2018,32.01,-82.12,27243,41891,44.6
35269,First Academy,Douglas,Georgia,31533,nonprofit,ein,580655357,10,1,2018,31.56,-82.83,35590,48377,40.2
25510,Positive Directions Youth Center,Dawson,Georgia,39842,nonprofit,ein,311789559,20,1,2018,31.76,-84.44,31977,45305,39.6
24501,St. Mary on the Hill PTO,Augusta,Georgia,30904,nonprofit,ein,580962917,20,1,2018,33.48,-82.01,35594,52676,38.7
27948,The Camp Grace,Roberta,Georgia,31078,nonprofit,ein,20652284,20,1,2018,32.69,-84.08,34911,47884,38.6
31119,WSE Elementary School,Rossville,Georgia,30741,School- Public School,ncesSchoolId,130093000349,10,1,2018,34.95,-85.28,35519,47550,34.8
31927,Jerger Elementary School PTO,Thomasville,Georgia,31792,nonprofit,ein,205457608,20,1,2018,30.77,-84.04,36546,60115,34.5
31108,Communities in Schools of Catoosa County,Fort Oglethorpe,Georgia,30742,nonprofit,ein,582437803,10,1,2018,34.95,-85.24,41990,48093,31.2
25968,"The Sexual Assault Victim's Advocacy Center, Inc",Fort Oglethorpe,Georgia,30742,nonprofit,ein,264363410,5,1,2018,34.95,-85.24,41990,48093,31.2
26601,Mansfield Cares,Gainesville,Georgia,30501,nonprofit,ein,814861004,5,1,2018,34.32,-83.81,41268,58688,30.4
1954,Camp Twin Lakes,Rutledge,Georgia,30663,nonprofit,ein,581826782,5,1,2018,33.62,-83.6,44940,65565,30.1
11986,"The Rescue Ranch Pups, Inc",Rutledge,Georgia,30663,nonprofit,ein,472903997,5,1,2017,33.62,-83.6,44940,65565,30.1
25306,Clarkesville Elementary PTCO,Clarkesville,Georgia,30523,nonprofit,ein,461172840,10,1,2018,34.71,-83.55,45896,61193,30
24632,"Wee Care Community Outreach, Inc.",Dalton,Georgia,30721,nonprofit,ein,205077011,40,2,"2018,2019",34.79,-84.92,40081,52178,29.9
24766,Lumpkin County Family Connection,Dahlonega,Georgia,30533,nonprofit,ein,743144389,20,2,2018,34.56,-84.02,44986,63278,29.2
17793,Jenn Training Disney Test,Atlanta,Georgia,30318,nonprofit,ein,111111111,5,1,2018,33.79,-84.45,44586,69265,28.5
25315,Davis Direction Foundation,Marietta,Georgia,30060,nonprofit,ein,471370495,20,1,2018,33.93,-84.54,41130,54318,26.9
