ControlNumber,BizEntityId,BusinessName,ModelType,Locale,Qualifier,CommencementDate,EffectiveDate,IsPerpetual,EndDate,ForeignState,ForeignCountry,ForeignDateOfOrganization,EntityStatus,EntityStatusDate,RegisteredAgentId,GoodStanding,PrimaryPhone,PrimaryEmail
1,1,"MANNA FAMILY CHIROPRACTIC, PC",Corp,Domestic,Professional,1/1/2000,1/1/2000,TRUE,,GA,,,Active/Noncompliance,2/6/2011,1155897,FALSE,,
2,2,"INSTALLATION RESOURCE GROUP,  INC.",Corp,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,,GA,,,Active/Compliance,6/4/2012,1155715,TRUE,,
3,3,"PEDIATRIC & ADOLESCENT CLINIC, L.L.C.",LLC,Domestic,None,1/1/2000,1/1/2000,TRUE,8/25/2011,GA,,,Admin. Dissolved,8/25/2011,1155716,FALSE,,
4,4,"PREFERRED SAFETY CONSULTING, INC.",Corp,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,7/9/2005,GA,,,Automated Administrative dissolution/Revocation,7/9/2005,1152968,FALSE,,
5,5,"BARBARA J. CRAWFORD, C.P.A., P.C.",Corp,Domestic,Professional,1/1/2000,1/1/2000,TRUE,5/16/2008,GA,,,Admin. Dissolved,5/16/2008,1155940,FALSE,,
6,6,"EOM, INC.",Corp,Domestic,ForProfit,1/3/2000,1/3/2000,TRUE,11/9/2002,GA,,,Automated Administrative dissolution/Revocation,11/9/2002,1155898,FALSE,,
7,7,"ALDERMAN PROPERTIES, INC.",Corp,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,,GA,,,Active/Compliance,3/20/2012,1152643,TRUE,,
8,8,"AGORA STUDIO, INC.",Corp,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,,GA,,,Active/Compliance,2/3/2012,1155941,TRUE,,
9,9,"GRIFFIN CONVENIENCE STORES, INC.",Corp,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,,GA,,,Active/Compliance,2/27/2012,2585143,TRUE,,
10,10,"RUGBY LAB & SUPPLY, INC.",Corp,Domestic,ForProfit,1/3/2000,1/3/2000,TRUE,5/16/2008,GA,,,Admin. Dissolved,5/16/2008,1152969,FALSE,,
11,11,"LOST FALLS LAND COMPANY, LLLP",LP,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,,GA,,,Merged,12/13/2007,1155899,FALSE,,
12,12,"WIN GEPPER, INC.",Corp,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,7/9/2005,GA,,,Automated Administrative dissolution/Revocation,7/9/2005,1155508,FALSE,,
13,13,"WANDA J. USSERY, CPA, P.C.",Corp,Domestic,Professional,1/1/2000,1/1/2000,TRUE,,GA,,,Active/Compliance,2/6/2012,1151819,TRUE,,
14,14,THE DOUGLAS COMPANY,Corp,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,11/9/2002,GA,,,Automated Administrative dissolution/Revocation,11/9/2002,1155942,FALSE,,
15,15,"DOUBLE M STRIPING SERVICES, INC.",Corp,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,,GA,,,Active/Compliance,2/3/2012,5651009,TRUE,,
16,16,"O.S.R., L.L.L.P.",LP,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,,GA,,,Inactive Limited Partnership,7/9/2005,1155900,FALSE,,
17,17,THE DUNN-RANKIN FAMILY LIMITED PARTNERSHIP,LP,Domestic,ForProfit,12/30/1999,12/30/1999,TRUE,,GA,,,Active/Compliance,2/8/2012,2477033,TRUE,,
18,18,"MIDWAY COLLISION CENTER, INC.",Corp,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,5/30/2010,GA,,,Admin. Dissolved,5/30/2010,1155098,FALSE,,
19,19,"K & S ELECTRICAL SERVICES, INC.",Corp,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,,GA,,,Active/Compliance,11/14/2012,5078119,TRUE,,
20,20,"MICHAEL'S LAWN MOWER AND SMALL ENGINE REPAIR, INC.",Corp,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,7/9/2005,GA,,,Automated Administrative dissolution/Revocation,7/9/2005,1155717,FALSE,,
21,21,BARGE FAMILY PARTNERSHIP LP,LP,Domestic,ForProfit,12/30/1999,12/30/1999,TRUE,,GA,,,Inactive Limited Partnership,7/9/2005,1155718,FALSE,,
22,22,"METRO CABLE CONSTRUCTION COMPANY, INC.",Corp,Domestic,ForProfit,1/1/2000,1/1/2000,TRUE,,GA,,,Active/Compliance,3/26/2012,1155901,TRUE,,
23,23,"CARROLL PRINTING, LLC",LLC,Domestic,None,1/1/2000,1/1/2000,TRUE,5/30/2010,GA,,,Admin. Dissolved,5/30/2010,1154117,FALSE,,
24,24,"NEW SOUTH PROPERTIES GROUP, L.L.C.",LLC,Domestic,None,1/1/2000,1/1/2000,TRUE,,GA,,,Merged,12/30/2008,1152971,FALSE,,
