"city","facebook","name","state","street","tags","twitter","type","website","x","y","zip"
"St. Charles","https://www.facebook.com/bennesbest","Benne's Best Meat","mo","850 South Breeze","eggs fresh-vegetables poultry fowl red-meat non-poultry-meat","","farm","www.bennesbest.com","-90.658483","38.718752","63304"
"Forsyth","https://www.facebook.com/beyondeden","Beyond Eden","mo","1804 Burmingham Rd","poultry fowl","","farm","vintagepoultry.com","-93.0777380","36.6569689","65653"
"Ashland","https://www.facebook.com/pages/Blue-Fox-Farm/357267831061749","Blue Fox Farm","mo","120 E Fox Hollow Rd","baked-goods canned preserved coffee tea cut-flowers dairy products eggs herbs fresh-fruits fresh-vegetables honey juices ciders maple-products mushrooms poultry fowl prepared-foods red-meat non-poultry-meat soap body-care wild-harvested forest-products wine spirits beer hard-cider","","farm","http://www.bluefoxfood.com/","-92.3456505","38.7866936","65010"
"Ash Grove","https://www.facebook.com/bluesilobeef","Blue Silo Beef","mo","7226 Highway O","red-meat non-poultry-meat","","farm","https://bluesilobeef.com/","-93.638307","37.173422","65604"
"Camdenton","https://www.facebook.com/pages/Canyon-Goat-Company/218608414896707?sk=info","Canyon Goat Company, Inc.","mo","324 Velvet Antler Road","red-meat non-poultry-meat","","farm","http://www.canyongoat.com/index.html","-92.8551303","38.0903328","65020"
"Augusta ","","Centennial Farms and Orchard","mo","199 Jackson St.","baked-goods bedding plants canned preserved herbs fresh-fruits fresh-vegetables honey soap body-care","","farm","CENTENNIAL FARMS.BIZ","-90.8878600","38.5742400","63332"
"Paris","","Davis Farm","mo","13948 Highway 15","grains flour red-meat non-poultry-meat","","farm","","-91.997360","39.394888","65275"
"Richland","","Farm Market","mo","30305 Thrush Drive","bedding plants fresh-fruits fresh-vegetables","","farm","","-92.4438987","37.7770030","65556"
"Boonville","https://www.facebook.com/boatrightfarms/","Fed From The Farm","mo","13906 Osage Valley Rd","dairy products eggs poultry fowl red-meat non-poultry-meat","","farm","https://fedfromthefarm.com/","-92.7573691","38.8851101","65233"
"Verona","","G's Orchard","mo","2096 Farm Road 1130","fresh-fruits fresh-vegetables","","farm","","-93.827266","36.896851","65769"
"Weston","https://www.facebook.com/greendirtfarm","Green Dirt Farm, LLC","mo","P.O. Box 74","dairy products red-meat non-poultry-meat","","farm","","-94.9016298","39.4111092","64098"
"Wheatland","","Green Gate Family Farm LLC","mo","RR 71 Box 1168","cut-flowers eggs fresh-fruits fresh-vegetables mushrooms poultry fowl","","farm","","-93.383060","37.993085","65779"
"Hartville","","Greenhill Vineyard and Farm.  We sell grapes.","mo","4905 highway 5","fresh-fruits","","farm","www.greenhillgrapes.com","-92.555292","37.286090","65667"
"richmond","www.facebook.com/hainesfarms","haines farms","mo","41903 e. 144th","bedding plants crafts woodworking cut-flowers eggs herbs fresh-fruits fresh-vegetables nursery-stock nuts wild-harvested forest-products","","farm","","-93.963643","39.350219","64085"
"Sikeston","Hamra Farms","Hamra Farms","mo","160 county road 831","canned preserved fresh-vegetables","https://www.twitter.com/HamraFarms","farm","","-89.676996","36.828947","63801"
"Lonedell","","Hart Apiaries","mo","3738 Highway 47","fresh-fruits honey","","farm","www.hartapiaries.com","-90.868656","38.238180","63060"
"Lampe","https://www.facebook.com/HeritageRanchBB","Heritage Farm and Ranch","mo","4738 W. State Hwy 86","canned preserved eggs herbs fresh-fruits fresh-vegetables red-meat non-poultry-meat","","farm","http://www.heritageranch.co/","-93.495140","36.509845","65681"
"St. Charles","https://www.facebook.com/pages/Hermans-Farm-Orchard/159616344096544","Hermans Farm Orchard","mo","3663 N. Highway 94","bedding plants canned preserved eggs herbs fresh-fruits fresh-vegetables honey juices ciders nursery-stock","","farm","www.hermansfarmorchard.com","-90.470826","38.832144","63301"
"Cape Girardeau","https://www.facebook.com/hinkebeins?rf=110698638992813","Hinkebein Hills Farm","mo","434 Whispering Wind Lane","eggs poultry fowl red-meat non-poultry-meat","","farm","","-89.494019","37.371078","63701"
"Spickard","https://www.facebook.com/HomesteadHillFarmandNursery/","Homestead Hill Farm & Nursery","mo","26 NE 80th Street","baked-goods bedding plants canned preserved crafts woodworking cut-flowers eggs herbs fresh-fruits fresh-vegetables nursery-stock soap body-care wild-harvested forest-products","","farm","homesteadhillfarming.com","-93.588959","40.189456","64679"
"Bates City","","John & Linda Fruit and Berry Farm","mo","2428 Texas Prairie Rd","cut-flowers fresh-fruits fresh-vegetables","","farm","","-94.066232","39.025235","64011"
"West Plains","","Jolliff Farm","mo","5550 County Road 1820","fresh-fruits fresh-vegetables","","farm","http://jollifffarm.wordpress.com/","-91.8615530","36.8335309","65775"
"Jefferson City","lagefarms.com","Lage Farms LLC","mo","8001 Bode Ferry Rd","red-meat non-poultry-meat","","farm","lagefarms.com","-92.089989","38.469585","65101"
"Louisiana","Www.facebook.com/lilsproutsfarm","Lil' Sprouts Farm","mo","11529 HWY NN","cut-flowers dry beans eggs herbs fresh-fruits fresh-vegetables grains flour mushrooms soap body-care wild-harvested forest-products","","farm","www.EarthSprouts.com","-91.076797","39.427775","63353"
"Brashear","www.facebook.com/lostbranchblueberryfarm","Lost Branch Blueberry Farm","mo","21507 Lost Branch Way","","@pricefamilylbbf","farm","www.lostbranchblueberries.com","-92.4550740","40.1729085","63533"
