Name,MetroArea,Description,Address,Latitude,Longitude,Website,Phone,Delivery
10th & Piedmont,Atlanta,"New American,Tapas","991 Piedmont Ave NE, Atlanta",33.781649,-84.380391,https://www.grubhub.com/restaurant/10th--piedmont-991-piedmont-ave-ne-atlanta/2062551,(404) 602-5510,checked
26 Thai,Atlanta,,"541 Main St NE F170, Atlanta, GA 30324, USA",33.8224512,-84.3696052,http://26thai.com/,(404) 400-5995,checked
26 Thai Kitchen & Bar at Midtown,Atlanta,"Curry,Noodles,Salads,Soup,Thai,Vegan","824 Juniper St NE, Atlanta",33.7770303,-84.3831371,https://www.grubhub.com/restaurant/26-thai-kitchen--bar-at-midtown-824-juniper-st-ne-atlanta/1981982,(678) 974-2093,checked
8ARM,Atlanta,,"710 Ponce De Leon Ave NE, Atlanta, GA 30306, USA",33.7738382,-84.3640812,http://8armatl.com/,(470) 875-5856,
A mano,Atlanta,,"587 Ralph McGill Blvd NE, Atlanta, GA 30312, USA",33.7636453,-84.3681492,https://www.amanoatl.com/,(404) 549-7727,
Adobo Taqueria and Tequila Bar,Atlanta,Adobo Taqueria and Tequila Bar is a place where people gather for authentic Mexican cuisine and the best margaritas in the Johns Creek,"11585 Jones Bridge Road Ste 640, Johns Creek, GA 30022",34.0618681,-84.2146435,www.adobotequilabar.com,(770) 772-1077,
AFFAIRS to REMEMBER,Atlanta,Lunch/Dinner Menu for Pickup or Delivery,"2316 Defoor Hills Road | Atlanta, GA 30318",33.8181546,-84.436057,http://affairs.com/wp-content/uploads/2020/03/AFFAIRS-to-REMEMBER-Delivery-Menu-Spring-2020-1.pdf,(404) 872-7859,checked
Ah-Ma's Taiwanese Kitchen,Atlanta,,"931 Monroe Drive Northeast, Atlanta",33.7794269,-84.3675836,https://www.grubhub.com/restaurant/ah-mas-taiwanese-kitchen-931-monroe-drive-northeast-atlanta/1489536,,checked
Ali Baba Mediterranean,Atlanta,"Dinner,Gyro,Lunch Specials,Mediterranean,Middle Eastern","1099 Euclid Ave NE, Atlanta",33.7636223,-84.3509597,https://www.grubhub.com/restaurant/ali-baba-mediterranean-1099-euclid-ave-ne-atlanta/318426,(404) 223-1445,checked
Alma Cocina Buckhead,Atlanta,A unique approach to contemporary Mexican and Latin American cuisine,"Terminus 100 3280 Peachtree Rd. NE Atlanta, GA 30305",33.845375,-84.3715647,https://buckhead.alma-atlanta.com/,(404) 873-4676,
Almond Cakes & Catering,Atlanta,"Bakery,Cafe,Cakes,Deli,Dessert,Hamburgers,Lunch","561 Spencer St NW, Atlanta",33.7603666,-84.4056529,https://www.grubhub.com/restaurant/almond-cakes--catering-561-spencer-st-nw-atlanta/1067741,(770) 863-0786,checked
American Deli,Atlanta,"American,Cheesesteaks,Chicken,Deli,Dinner,Gyro,Lunch","1250 Caroline St NE, Atlanta",33.7586144,-84.3480019,https://www.grubhub.com/restaurant/american-deli-1250-caroline-st-ne-atlanta/1962379,(404) 522-6567,checked
American Eclectic Burger,Atlanta,"American,Breakfast,Chicken,Fast Food,Hamburgers,Sandwiches,Wings","567 Courtland St NE, Atlanta",33.770061,-84.383841,https://www.grubhub.com/restaurant/american-eclectic-burger-567-courtland-st-ne-atlanta/1417613,,checked
Ammazza,Atlanta,"Italian,Pizza","591 Edgewood Ave SE, Atlanta",33.7540508,-84.3681286,https://www.grubhub.com/restaurant/ammazza-591-edgewood-ave-se-atlanta/1231343,(404) 835-2298,checked
Anh's Kitchen,Atlanta,"Asian,Dinner,Lunch,Vietnamese","855 Peachtree St NE, Atlanta",33.7780871,-84.3838967,https://www.grubhub.com/restaurant/anhs-kitchen-855-peachtree-st-ne-atlanta/786156,(404) 989-6886,checked
Anna's BBQ,Atlanta,"BBQ,Dinner,Lunch Specials,Sandwiches","1976 Hosea L Williams Dr NE, Atlanta",33.7518646,-84.3227105,https://www.grubhub.com/restaurant/annas-bbq-1976-hosea-l-williams-dr-ne-atlanta/503228,(404) 963-6976,checked
Antico Pizza,Atlanta,,"1093 Hemphill Ave NW, Atlanta, GA 30318, USA",33.7846405,-84.4056188,https://littleitalia.com/,(404) 724-2333,checked
Arepa Mia,Atlanta,,"209 Edgewood Ave SE, Atlanta, GA 30303, USA",33.7540215,-84.379914,http://www.arepamiaatlanta.com/,(404) 880-8575,checked
Argosy,Atlanta,"American,Dinner,Lunch,Pizza,Sandwiches,Snacks","470 Flat Shoals Ave SE, Atlanta",33.741305,-84.3462764,https://www.grubhub.com/restaurant/argosy-470-flat-shoals-ave-se-atlanta/2034273,(404) 577-0407,checked
Aria,Atlanta,"For wine lovers, Aria's 380+ bottle wine list is now available for curbside pick-up at half price. Those interested in some adventure can try the Sommelier�s Mystery Bottle selection ($35/$55), and Aria's wine director will make a selection to surprise you with during your curbside pick-up","490 East Paces Ferry Rd NE Atlanta, GA 30305",33.8387692,-84.3719068,https://www.aria-atl.com/,(404) 233-7673,checked
Arnette's Chop Shop,Atlanta,,"2700 Apple Valley Rd NE, Brookhaven, GA 30319, USA",33.8652758,-84.3358484,http://arnetteschopshop.com/,(404) 969-0701,
Athens Pizza,Atlanta,,"1341 Clairmont Rd, Decatur, GA 30033, USA",33.7919496,-84.3052143,http://www.decaturathenspizza.com/,(404) 636-1100,checked
Atlanta Breakfast Club,Atlanta,"American,Breakfast,Lunch Specials,Sandwiches,Southern","249 Ivan Allen Jr Blvd NW, Atlanta",33.7649298,-84.3954531,https://www.grubhub.com/restaurant/atlanta-breakfast-club-249-ivan-allen-jr-blvd-nw-atlanta/339368,(470) 428-3825,checked
Atlanta Fish Market,Atlanta,,"265 Pharr Rd NE, Atlanta, GA 30305, USA",33.836649,-84.3788054,https://buckheadrestaurants.com/restaurant/atlanta-fish-market/,(404) 262-3165,checked
Atwoods Pizza,Atlanta,"American,Breakfast,Cafe,Lunch,Pizza","817 West Peachtree Street Northwest, Atlanta",33.7773135,-84.3869758,https://www.grubhub.com/restaurant/atwoods-pizza-817-west-peachtree-street-northwest-atlanta/1490702,,checked
B.Y.O. Burgers,Atlanta,Hamburgers,"57 Broad St NW, Atlanta",33.7554809,-84.3892687,https://www.grubhub.com/restaurant/byo-burgers-57-broad-st-nw-atlanta/1401477,(404) 589-9800,checked
Babs Midtown,Atlanta,Chef Crafted Food at Take-Out Rates !!,814 Juniper St NE,33.7767485,-84.3831576,www.facebook.com/BabsMidtown,404--541-0888,checked
Baja Fresh Mexican Grill,Atlanta,"Dinner,Mexican","250 Park Avenue West NW Ste 120, Atlanta",33.7615102,-84.3948784,https://www.grubhub.com/restaurant/baja-fresh-mexican-grill-250-park-avenue-west-nw-ste-120-atlanta/259216,(404) 682-3561,checked
Bakari's Hot Pizza Cafe,Atlanta,"American,Calzones,Cheesesteaks,Dessert,Dinner,Late Night,Lunch Specials","576 Lee St SW Suite A, Atlanta",33.7393507,-84.4133867,https://www.grubhub.com/restaurant/bakaris-hot-pizza-cafe-576-lee-st-sw-suite-a-atlanta/283096,(404) 965-2684,checked
Baker Dude Bakery Cafe (Grant St SE),Atlanta,"Bakery,Breakfast,Cakes,Dessert,Gluten-Free,Pizza,Salads","1039 Grant St SE Ste B18, Atlanta",33.7258352,-84.3769365,https://www.grubhub.com/restaurant/baker-dude-bakery-cafe-grant-st-se-1039-grant-st-se-ste-b18-atlanta/1127990,(404) 997-8177,checked
Bankhead Wingz,Atlanta,"Cheesesteaks,Hot Dogs,Seafood,Wings","918 Donald Lee Hollowell Pkwy NW, Atlanta",33.7726816,-84.4177384,https://www.grubhub.com/restaurant/bankhead-wingz-918-donald-lee-hollowell-pkwy-nw-atlanta/1700950,(404) 604-1178,checked
Banshee,Atlanta,,"1271 Glenwood Ave SE, Atlanta, GA 30316, USA",33.7399618,-84.3459272,http://banshee-atl.com/,(470) 428-2034,
Bantam + Biddy,Atlanta,,"1544 Piedmont Avenue Northeast #Suite 301, Atlanta, GA 30324, USA",33.7978426,-84.3708838,http://bantamandbiddy.com/,(404) 907-3469,
Bar Mercado,Atlanta,,"99-V, Krog St NE, Atlanta, GA 30307, USA",33.7567769,-84.3639806,https://www.barmercadoatl.com/,(404) 480-4866,checked
Baraka Shawarma,Atlanta,"Breakfast,Lunch,Middle Eastern,Sandwiches","57 Forsyth St NW Ste R6, Atlanta",33.756128,-84.3898618,https://www.grubhub.com/restaurant/baraka-shawarma-57-forsyth-st-nw-ste-r6-atlanta/976922,(404) 907-4530,checked
Barcelona Wine Bar & Restaurant,Atlanta,"Mediterranean,Spanish,Tapas","240 North Highland Avenue Northeast, Atlanta",33.7626731,-84.3597091,https://www.grubhub.com/restaurant/barcelona-wine-bar--restaurant-240-north-highland-avenue-northeast-atlanta/1489911,,checked
Bareburger,Atlanta,"American,Dinner,Hamburgers,Healthy,Lunch,Lunch Specials,Organic","715 Peachtree St NE, Atlanta",33.7740223,-84.3838575,https://www.grubhub.com/restaurant/bareburger-715-peachtree-st-ne-atlanta/867660,(404) 551-5555,checked
Baskin-Robbins,Atlanta,"Dessert,Fast Food,Ice Cream","682 Boulevard Northeast, Atlanta",33.7733223,-84.3714345,https://www.grubhub.com/restaurant/baskin-robbins-682-boulevard-northeast-atlanta/1489332,,checked
Bell Street Burritos,Atlanta,,"112 Krog St NE #1A, Atlanta, GA 30307, USA",33.756209,-84.3648842,http://www.bellstreetburritos.com/,(678) 732-9122,checked
Ben & Jerry's,Atlanta,"Dinner,Ice Cream,Lunch,Shakes,Smoothies and Juices","312 N Highland Ave NE Ste B, Atlanta",33.7633095,-84.3579223,https://www.grubhub.com/restaurant/ben--jerrys-312-n-highland-ave-ne-ste-b-atlanta/893064,(678) 974-8495,checked
Bennett's Market & Deli,Atlanta,"American,Breakfast,Deli,Grocery Items,Lunch Specials,Sandwiches","661 Auburn Ave NE Ste 200, Atlanta",33.7563222,-84.3654592,https://www.grubhub.com/restaurant/bennetts-market--deli-661-auburn-ave-ne-ste-200-atlanta/1400753,(404) 343-6481,checked
Bhojanic,Atlanta,,"3400 Around Lenox Rd #201, Atlanta, GA 30326, USA",33.8464163,-84.3650177,http://www.bhojanic.com/,(404) 841-8472,checked
Big B's Fish Joint,Atlanta,Takeout and curbside pickup are available. People can order online or call 470-355-8326 to place their orders. Gift cards are also available.,"4600 Roswell Road Atlanta, GA 30342",33.880895,-84.3805422,https://www.bigbsfishjoint.com/,(470) 355-8326,checked
Big Dave's Cheesesteaks,Atlanta,"Cheesesteaks,Wings","57 Forsyth Street Northwest, Atlanta",33.756128,-84.3898618,https://www.grubhub.com/restaurant/big-daves-cheesesteaks-57-forsyth-street-northwest-atlanta/1777176,,checked
Big Easy Snoballs -,Atlanta,"Dessert,Snacks","728 Monroe Dr NE Ste A, Atlanta",33.7743822,-84.3712067,https://www.grubhub.com/restaurant/big-easy-snoballs---728-monroe-dr-ne-ste-a-atlanta/1275442,(404) 519-7494,checked
