"city","facebook","name","state","street","tags","twitter","type","website","x","y","zip"
"Chaseburg","","Adoni Arces Family Farm LLC ","Wisconsin","S387 Korthals Ln. ","eggs fresh-fruits poultry fowl red-meat non-poultry-meat","","farm","","-91.1102715","43.7134959","45621"
"Wisconsin Rapids","https://www.facebook.com/altenburgsfarm","Altenburg's Country Gardens LLC","Wisconsin","7020 Plover Rd (Hwy. 54 E)","canned preserved fresh-fruits fresh-vegetables maple-products prepared foods","","farm","http://www.altenburgsfarm.com/","-89.738168","44.419143","54494"
"DePere","https://www.facebook.com/pages/Apple-Valley-Orchard/117313941615608","Apple Valley Orchard LLC","Wisconsin","1670 Mar-El Road","baked-goods canned preserved crafts woodworking fresh-fruits juices ciders soap body-care","","farm","AppleValleyLLC.com","-88.092893","44.378637","54115"
"Cross Plains","upickappleberryfarm.com","Appleberry Farm LLC","Wisconsin","8079 Maurer Road","baked-goods canned preserved crafts woodworking cut-flowers eggs fresh-fruits fresh-vegetables honey juices ciders maple-products prepared foods soap body-care","","farm","theappleberryfarm.com","-89.6159386","43.0421176","53528"
"Campbellsport","https://www.facebook.com/pages/Armstrong-Apples-Orchard-and-Winery/103621803066115","Armstrong Apples LLC","Wisconsin","W853 County Road B","baked-goods canned preserved dairy products fresh-fruits honey juices ciders soap body-care wine spirits beer hard-cider","","farm","Armstrongapples.com","-88.199707","43.707108","53010"
"Shell Lake","","Bashaw Valley Farm & Greenhouse","Wisconsin","W7402 Fox Trail Rd.","bedding plants canned preserved eggs fresh-fruits honey maple-products nursery-stock red-meat non-poultry-meat","","farm","bashawvalley@gmail.com","-91.913566","45.764247","54871"
"lena ","https://www.facebook.com/Behnkes-Grass-Fed-Beef-And-Pasture-Pork-250614411763880/?fref=ts&ref=br_tf","Behnkes Grass Fed Beef & Pasture Pork","Wisconsin","4420 Behnke rd","canned preserved fresh-vegetables poultry fowl red-meat non-poultry-meat wild-harvested forest-products","","farm","","-87.980007","44.999195","54139"
"New Richmond","","Blue Gentian Farm","Wisconsin","1990 Hwy 46","eggs red-meat non-poultry-meat","https://www.twitter.com/bgfarmboy","farm","","-92.3841138","45.1486124","54017"
"River Falls","https://www.facebook.com/WIFarmFreshAtlas","Blue Ridge Growers Orchard Nursery","Wisconsin","246 Carlson Lane","canned preserved crafts woodworking fresh-fruits soap body-care","","farm","www.facebook.com/WIFarmFreshAtlas","-92.709957","44.895888","54022"
"Bear Creek","","Blueberry Haven LLC","Wisconsin","W9967 County  Road XX","canned preserved fresh-fruits","","farm","BLUEBERRYHAVEN.NET","-88.6909960","44.5884040","54922"
