	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab	emp	payann
0	53	999	Statewide	11	Crop harvesting, primarily by machine	53	115113	14.6	15.8	786.6
1	53	999	Statewide	11	Farm labor contractors and crew leaders	53	115115	24.049999999999997	164.0	16991.2
2	53	999	Statewide	11	Farm management services	53	115116	12.200000000000001	0.0	0.0
3	53	999	Statewide	11	Finfish fishing	53	114111	274.2	1524.3999999999999	125091.99999999999
4	53	999	Statewide	11	Forest nurseries and gathering of forest products	53	113210	16.8	8.0	417.2
5	53	999	Statewide	11	Hunting and trapping	53	114210	4.6	0.0	0.0
6	53	999	Statewide	11	Logging	53	113310	471.7333333333334	3439.2	194739.6
7	53	999	Statewide	11	Other marine fishing	53	114119	10.166666666666666	0.0	0.0
8	53	999	Statewide	11	Postharvest crop activities (except cotton ginning)	53	115114	60.75	3807.2	123038.20000000001
9	53	999	Statewide	11	Shellfish fishing	53	114112	178.6	105.99999999999999	11752.0
10	53	999	Statewide	11	Soil preparation, planting, and cultivating	53	115112	68.25	127.5	7725.450000000001
11	53	999	Statewide	11	Support activities for animal production	53	115210	159.33333333333337	277.99999999999994	10273.199999999999
12	53	999	Statewide	11	Support activities for forestry	53	115310	134.39999999999998	855.8	32787.8
13	53	999	Statewide	11	Timber tract operations	53	113110	23.95	16.2	699.0
14	53	999	Statewide	21	All other metal ore mining	53	212299	2.0	0.0	0.0
15	53	999	Statewide	21	All other nonmetallic mineral mining	53	212399	5.0	0.0	0.0
16	53	999	Statewide	21	Bituminous coal and lignite surface mining	53	212111	2.0	0.0	0.0
17	53	999	Statewide	21	Bituminous coal underground mining	53	212112	1.0	0.0	0.0
18	53	999	Statewide	21	Clay and ceramic and refractory minerals mining	53	212325	1.0	0.0	0.0
19	53	999	Statewide	21	Construction sand and gravel mining	53	212321	64.6	374.40000000000003	21905.199999999997
20	53	999	Statewide	21	Copper ore and nickel ore mining	53	212234	1.0	0.0	0.0
21	53	999	Statewide	21	Crude petroleum and natural gas extraction	53	211111	7.6	0.0	0.0
22	53	999	Statewide	21	Crushed and broken granite mining and quarrying	53	212313	8.55	0.0	0.0
23	53	999	Statewide	21	Crushed and broken limestone mining and quarrying	53	212312	16.8	0.0	0.0
24	53	999	Statewide	21	Dimension stone mining and quarrying	53	212311	5.0	0.0	0.0
25	53	999	Statewide	21	Drilling oil and gas wells	53	213111	13.666666666666666	0.0	0.0
26	53	999	Statewide	21	Gold ore mining	53	212221	11.4	0.0	0.0
27	53	999	Statewide	21	Industrial sand mining	53	212322	4.0	0.0	0.0
28	53	999	Statewide	21	Iron ore mining	53	212210	2.0	0.0	0.0
29	53	999	Statewide	21	Lead ore and zinc ore mining	53	212231	1.0	0.0	0.0
30	53	999	Statewide	21	Other chemical and fertilizer mineral mining	53	212393	1.0	0.0	0.0
31	53	999	Statewide	21	Other crushed and broken stone mining and quarrying	53	212319	24.799999999999997	30.0	1788.8
32	53	999	Statewide	21	Silver ore mining	53	212222	1.0	0.0	0.0
33	53	999	Statewide	21	Support activities for coal mining	53	213113	1.0	0.0	0.0
34	53	999	Statewide	21	Support activities for metal mining	53	213114	8.2	26.4	1717.0
35	53	999	Statewide	21	Support activities for nonmetallic minerals (except fuels) mining	53	213115	6.6	0.0	0.0
36	53	999	Statewide	21	Support activities for oil and gas operations	53	213112	21.2	7.199999999999999	596.8
37	53	999	Statewide	21	Uranium-radium-vanadium ore mining	53	212291	1.0	0.0	0.0
38	53	999	Statewide	22	Biomass electric power generation	53	221117	3.0	0.0	0.0
39	53	999	Statewide	22	Electric power distribution	53	221122	103.2	424.8	35826.0
40	53	999	Statewide	22	Fossil fuel electric power generation	53	221112	10.4	0.0	0.0
