name,address,city,state,zip,country,latitude,longitude,phone,phone_afterhours,schedule,website,title,description
Autonomous Vehicle Routing,Peachtree Corners Curiosity Lab,Atlanta,GA,30274,USA,33.9699,-84.2215,,,,https://curiositylabptc.com,Peachtree Corners – Curiosity Lab: Intelligent Mobility Test Track,"A 1.5 mile intelligent mobility and Smart City living laboratory. Curiosity Lab at Peachtree Corners is a publicly funded living lab designed to provide a real world test environment to advance next generation intelligent mobility and smart city technology. Assets include a 1.5 mile autonomous vehicle test track located within a commercial office park, fully operational 5G, 1G of dedicated fiber, DSRC units, video surveillance, smart poles and a 25,000 square foot technology incubator."
LaGrange Intelligent Highway,The Ray Highway,LaGrange,GA,30004,USA,32.8771,-85.1505,,,,https://www.theray.org,The Ray – Connected Vehicles and Autonomous Vehicles,"An 18 mile stretch of interstate that serves as a proving ground for emerging technologies. This corridor is serving as a living laboratory for the active traffic management of interstate lanes, and enables real world testing of advanced mobility/modalities, such as platooning and autonomous driving. A P4 partnership between GDOT, 3M and The Ray resulted in physical infrastructure along the road for machine vision systems and wayfinding. A cost sharing partnership between GDOT, Panasonic and The Ray resulted in the connected, digital environment for V2X."
Columbus Access and Mobility,Columbus Uptown District,Columbus,GA,31901,USA,32.4649,-84.9938,,,,https://smartcities.ipat.gatech.edu/columbus,Columbus Georgia – Wi-Fi Access and Improved EMT Response Time,"Internet of Things (IoT) sensors will be connected to new wireless access points in uptown Columbus. Data from license plate readers and population movement will be analyzed to improve Police, Fire and EMT response time.  Researchers will create data models and gather community feedback to find optimal ways to improve safety, security and efficiency without compromising privacy. Georgia Tech's team consists of Dr. John E. Taylor and Dr. Neda Mohammadi of the Network Dynamics Lab, and Dr. Russell J. Clark of the Mobile Technology & IoT Program."
Chamblee Autonomous Shuttles,MARTA station connections,Chamblee,GA,30341,USA,33.8861,-84.3069,,,,https://smartcities.ipat.gatech.edu/city-chamblee,City of Chamblee – Shared Autonomous Vehicle Study,"Chamblee is partnering with Georgia Tech professor Dr. Ellen Dunham-Jones to conduct research on the potential impacts of autonomous vehicle technology on land uses, on attracting next generation residents and employees, on expanding access to MARTA, on prioritizing of pedestrian and bicycle mobility to maintain the human scale in City streets, and on improving public health. Dr. Dunham-Jones’ research will focus on how Chamblee can leverage SAVs and the redevelopment opportunities they may provide to achieve its broader goals of livability and sustainable urban design."
Milton - Walking School Bus,Historic Village of Crabapple Tree,Milton,GA,30004,USA,34.1322,-84.3007,,,,https://smartcities.ipat.gatech.edu/milton,City of Milton – Technology-Enabled Safer Routes to School,"The Safe Walks to School app will allow parents to set up and join a Walking School Bus (with 6+ feet of social distance between walkers), see real-time location and estimated arrival times of their children, see which friends and parents will be on the route, request police escort for the walk, and get confirmations about their kids arrival at school. The city of Milton is initially partnering with three schools by the historic village of Crabapple Tree. The app will be developed as open source under the guidance of Dr. Kari Watkins and Dr. Angshuman Guin of Georgia Tech's School of Civil and Environmental Engineering."
Smart Neighborhoods MBC,Macon-Bibb County,Macon,GA,31201,USA,32.8399,-83.628,,,,https://smartcities.ipat.gatech.edu/macon-bibb,Macon-Bibb County – Smart Neighborhoods MBC,"Macon-Bibb county is partnering with Georgia Tech research scientist Dr. Arthi Rao, Center for Quality Growth and Regional Development, to utilize spatial and statistical analytics to develop a “Smart Location Index” to optimize the placement of kiosks and maximize their usage. They will benchmark existing “Smart Kiosk” models/technologies and design a robust stakeholder engagement strategy to develop specifications that are responsive to community needs and preferences."
Albany Housing Data Analytics,Dept of Community and Economic Dev,Albany,GA,31701,USA,31.5785,-84.1557,,,,https://smartcities.ipat.gatech.edu/city-albany,City of Albany – Housing Data Analytics and Visualization Initiative,"The Albany Housing Data Analytics and Visualization Initiative created a comprehensive and flexible database to manage Albany's housing inventory of 33,398 with greater accuracy. The new system replaced handwritten inspection sheets and combined multiple spreadsheets into one database with an Esri frontend and standardized backend."
Chatham County Water Levels,Coastal Waterways,Savannah,GA ,31410,USA,31.9994,-81.1196,,,,https://smartcities.ipat.gatech.edu/chatham-county,Chatham County – Smart Sea Level Tools for Emergency Planning and Response,"Chatham County's sensor network measures sea level flood risk to inform government officials and other key stakeholders in real-time during natural disasters and storms. The pilot network helps to improve flood warnings, emergency response action plans, and flood predictions for future flood events, as well as serve as the basis for additional sea management tool development, environmental monitoring platform development and data sharing."
Gwinnett Connected Vehicles,Gwinnett Roadways,Gwinnett,GA,30026,USA,33.9191,-84.0167,,,,https://smartcities.ipat.gatech.edu/gwinnett-county,Gwinnett County – Connected Vehicle Technology Master Plan,Gwinnett County is setting the standard for the application of connected vehicle technology by using the latest technological advances in traffic management systems to improve traffic congestion and reduce crashes in the Peachtree Industrial Boulevard corridor. Our 2020 study covers 50 intersections over a 20-mile stretch of roadway through areas which experience some of the highest traffic counts in the region.
Southeast Coastal Partners,"Appling, Bacon, Glynn, Jeff Davis, Pierce & Wayne",Jesup,GA,31545,USA,31.6074,-81.8854,,,,https://model.georgia.org/community/projects/biomass/,Southeast Georgia Six-County Coalition,"Members of Appling, Bacon, Glynn, Jeff Davis, Pierce and Wayne counties are collaborating with the Georgia Center of Innovation to implement material life cycle analysis using the US EPA's Environmentally-Extended Input Output model under the guidance of Dr. Wesley Ingwersen of the EPA, and Dr. Valerie Thomas of the Georgia Institute of Technology School of Industrial and Systems Engineering. The six-county coalition is focused on exploring the production of sustainable fuels and chemicals from biomass, plastics from plants, hydrogen fuel, carbon capture, and transformative forestry and hydrology."
Smart Woodstock Master Plan,Woodstock,Woodstock,GA,30188,USA,34.1015,-84.5194,,,,https://smartcities.ipat.gatech.edu/woodstock,City of Woodstock – Smart Woodstock Master Plan and Smart Corridor Study,"The city of Woodstock is aiming to increase efficiency with autonomous vehicle drop-off lanes, to reduce the need for parking, and managed right of way traffic controls with smart data-capturing sensors to ease traffic flow without destroying the walkability and family-oriented atmosphere of its downtown. Ramachandra Sivakumar (Siva), Senior Research Engineer - Georgia Tech Center for Spatial Planning Analytics and Visualization (CSPAV) will lead the research on Smart Data Governance and Optimizing infrastructure."
