	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann
261402	36001	36	1	Albany County, New York	1152	Support activities for animal production	11	2.6	0.0	43.6
261403	36001	36	1	Albany County, New York	1153	Support activities for forestry	11	1.0	0.0	0.0
261404	36001	36	1	Albany County, New York	2111	Oil and gas extraction	21	1.0	0.0	0.0
261405	36001	36	1	Albany County, New York	2123	Nonmetallic mineral mining and quarrying	21	2.6	0.0	0.0
261406	36001	36	1	Albany County, New York	2131	Support activities for mining	21	1.0	0.0	0.0
261407	36001	36	1	Albany County, New York	2211	Electric power generation, transmission and distribution	22	12.0	0.0	22972.8
261408	36001	36	1	Albany County, New York	2361	Residential building construction	23	187.0	699.2	30697.8
261409	36001	36	1	Albany County, New York	2362	Nonresidential building construction	23	53.6	1127.8	85678.2
261410	36001	36	1	Albany County, New York	2371	Utility system construction	23	16.0	394.0	28381.4
261411	36001	36	1	Albany County, New York	2372	Land subdivision	23	3.6	0.0	0.0
261412	36001	36	1	Albany County, New York	2373	Highway, street, and bridge construction	23	16.8	405.2	45513.0
261413	36001	36	1	Albany County, New York	2379	Other heavy and civil engineering construction	23	2.4	34.0	1311.6
261414	36001	36	1	Albany County, New York	2381	Foundation, structure, and building exterior contractors	23	80.4	652.0	34657.4
261415	36001	36	1	Albany County, New York	2382	Building equipment contractors	23	200.6	2975.8	219232.4
261416	36001	36	1	Albany County, New York	2383	Building finishing contractors	23	120.4	555.8	25172.0
261417	36001	36	1	Albany County, New York	2389	Other specialty trade contractors	23	82.2	473.6	35386.0
261418	36001	36	1	Albany County, New York	3111	Animal food manufacturing	31	3.0	39.4	1126.0
261419	36001	36	1	Albany County, New York	3112	Grain and oilseed milling	31	1.0	0.0	0.0
261420	36001	36	1	Albany County, New York	3113	Sugar and confectionery product manufacturing	31	2.4	0.0	0.0
261421	36001	36	1	Albany County, New York	3115	Dairy product manufacturing	31	1.0	0.0	0.0
